"teta [deg]","Matrix1.L(Current1,Current1)/50 []"
-80,8.28153645089841
-79,8.33649636849489
-78,8.52793846755745
-77,8.65395002431661
-76,8.81772087304284
-75,9.02692547351917
-74,9.28755130145263
-73,9.51661641870971
-72,9.76395366029351
-71,9.98573391893659
-70,10.1830957516657
-69,10.4521970359612
-68,10.6811936488616
-67,10.8712644585762
-66,11.120468947629
-65,11.3462086538177
-64,11.6022266740184
-63,11.8159511825754
-62,12.0306785333663
-61,12.2832432008588
-60,12.492238188033
-59,12.7248909396575
-58,12.9322527186893
-57,13.1678846981177
-56,13.4174876505981
-55,13.6353527501382
-54,13.8934772520849
-53,14.112462835193
-52,14.301235020489
-51,14.5232757924512
-50,14.7461894915806
-49,15.0045287686144
-48,15.2256098891621
-47,15.4157891033296
-46,15.6517091377574
-45,15.8603493715368
-44,16.0537560374297
-43,16.2604967883904
-42,16.5067438095924
-41,16.731191326552
-40,16.9275716767429
-39,17.0809623477783
-38,17.3326959633431
-37,17.5781511996371
-36,17.8082125418921
-35,17.9904917742776
-34,18.2010383830324
-33,18.3944910465314
-32,18.6344636495392
-31,18.85795207879
-30,19.0581600488118
-29,19.2275790677779
-28,19.4278700297229
-27,19.6707149434075
-26,19.8833365683746
-25,20.0522264653978
-24,20.2464174427856
-23,20.4578568093889
-22,20.6611613354231
-21,20.8687595414261
-20,20.9802649114149
-19,21.2075549008105
-18,21.4189989735061
-17,21.6315659104867
-16,21.8022119678075
-15,21.9464097093071
-14,22.1251753626761
-13,22.334737030712
-12,22.5250656769396
-11,22.6750837985971
-10,22.815188783986
-9,22.9753157743826
-8,23.1403212080627
-7,23.3328281205398
-6,23.4078510315712
-5,23.5312178640024
-4,23.5838724642066
-3,23.7072694839909
-2,23.7746788099314
-1,23.7929817833773
0,23.8192005781912
1,23.7783067122208
2,23.7697636691205
3,23.7045218767186
4,23.6098512196924
5,23.4946288095585
6,23.4053757727309
7,23.3251787362351
8,23.1757601178921
9,22.9760186773245
10,22.8192052455028
11,22.670129311601
12,22.5226193700259
13,22.3398557431355
14,22.1310011745752
15,21.9322663123592
16,21.7981735861336
17,21.6286325274845
18,21.4215009462945
19,21.1697616650128
20,21.0302504485137
21,20.8693041541617
22,20.6650284779966
23,20.4631448068595
24,20.2278197008761
25,20.0436359242731
26,19.8802410146212
27,19.661096201017
28,19.4441327388345
29,19.2369748180377
30,19.0508095773476
31,18.8579306646152
32,18.6341881746266
33,18.4039465739913
34,18.2024203143746
35,17.9977645171918
36,17.8081557632676
37,17.582433021496
38,17.3340513982757
39,17.0803204509539
40,16.9248642012483
41,16.7357447057632
42,16.5095209741249
43,16.2424940583656
44,15.9928645518965
45,15.8424475104439
46,15.6544054370485
47,15.4231322757352
48,15.1683765578073
49,15.0033069181796
50,14.7496744755337
51,14.5385789995229
52,14.30808834698
53,14.1095147907478
54,13.8953074143304
55,13.6385732227594
56,13.414724770903
57,13.1714572746693
58,12.9143484434251
59,12.6853846206985
60,12.4897045701174
61,12.271451866094
62,12.0268450725955
63,11.8040834004927
64,11.6031322670527
65,11.345301024767
66,11.1060666844377
67,10.8679539862217
68,10.6749038488788
69,10.4564675676174
70,10.1672932643354
71,9.98520490431681
72,9.75618899082723
73,9.50700526401959
74,9.2843761278693
75,9.07335156725191
76,8.8203120616088
77,8.66830548971784
78,8.46854713903105
79,8.34024160700559
80,8.28328627596099
