"teta [deg]","Torque1.Torque/50 []"
48,-67.5775558118104
49,-67.3097662885906
50,-67.757195277313
51,-68.9461805810732
52,-69.9452689685386
53,-67.7931578275632
54,-67.7103984591332
55,-67.6611906554816
56,-68.5375530885754
57,-67.1716509118454
58,-67.1500990358662
59,-67.9619748131414
60,-68.5989347647692
61,-68.919904819836
62,-68.7826158222338
63,-67.8379314367624
64,-68.194302245398
65,-68.1541786337342
66,-69.8272829347342
67,-68.7249449883958
68,-68.8230915431632
69,-68.1636711792994
70,-68.600866434958
71,-67.4995875242648
72,-67.6274151900588
73,-69.9042998458446
74,-66.3921533209174
75,-63.1625846402294
76,-55.7456735723258
77,-46.6843925299116
78,-37.9477183421286
79,-30.757234251781
80,-24.884349973665
81,-19.7953702962881
82,-16.2306083246256
83,-13.0243836685059
84,-10.5202586051396
85,-8.34183160739154
86,-6.31936745181522
87,-4.65212967754214
88,-3.1274425528087
89,-1.17764424238538
90,0.0645271635874102
91,1.34320171506565
92,3.05627795077058
93,4.65677823988838
94,6.34501667171564
95,8.34151768477002
96,10.460677342585
97,12.9311590306065
98,16.1077022307582
99,20.1371217828868
100,24.817486029426
101,31.0970097754606
102,38.7173159353488
103,46.172907289586
104,55.4059050643648
105,62.9467380785902
106,66.334030985857
107,68.7070351775494
108,67.8445189202712
109,67.5448985302344
110,69.206160578201
111,67.9021988470662
112,69.0215903251182
113,69.0048447095446
114,68.7989784274564
115,68.2608081164606
116,68.232139815115
117,68.531776581216
118,68.8589953716516
119,68.0383707889552
120,68.4941891981782
121,67.2435460308782
122,66.5862844720652
123,67.450753984668
124,69.1241595807476
125,67.4700751843094
126,67.5519281613882
127,67.5697703505542
128,69.5409167848772
129,68.7667291131044
130,67.8110971830826
131,67.4721869754414
132,67.520340411004
133,69.6979231177768
134,68.2355620295334
135,67.753779875943
136,67.4846520177742
137,66.2039025791936
138,68.8372380393816
139,67.8695627174238
140,66.8141580431118
141,65.9676465210976
142,65.4233355703988
143,68.8434088327668
144,67.4900213999528
145,66.0117643055542
146,66.611554151394
147,66.0348801886472
148,68.3504999102772
149,66.86731543084
150,65.7456535663046
151,65.5957744461756
152,65.6117168380412
153,67.3842842568696
154,66.2664367089468
155,64.8195096959844
156,64.8391045351338
157,67.696172532076
158,66.643194925372
