"teta [deg]","Matrix1.L(Current1,Current1)/50 []"
7,26.9221775148156
8,26.6946812220289
9,26.4704873263176
10,26.2493924703634
11,26.0359435276504
12,25.82649418704
13,25.5702539787891
14,25.2965251551575
15,25.0466895201619
16,24.8294217785493
17,24.6023283693354
18,24.3231466920271
19,24.0414154182482
20,23.8034556083205
21,23.5940794366829
22,23.3253972930302
23,23.0671536060544
24,22.785984973805
25,22.5208762801035
26,22.3182117704817
27,22.0385177381488
28,21.7657031952955
29,21.509376852644
30,21.2739409172271
31,21.0345617654768
32,20.7531070753899
33,20.4759888426663
34,20.2235208176376
35,20.0232225800774
36,19.7405045234244
37,19.4623458096268
38,19.1560563633995
39,18.8450138279341
40,18.6679758882231
41,18.4398288417529
42,18.1663231213846
43,17.8474981199251
44,17.5397985245765
45,17.3729568813153
46,17.1492546665495
47,16.8731474625256
48,16.6423236299231
49,16.3804469424036
50,16.0796751354549
51,15.8286153823607
52,15.5591395412506
53,15.3299463930136
54,15.0777475820071
55,14.7789181718396
56,14.5154194034609
57,14.2301744644891
58,13.9316784306066
59,13.6650013519036
60,13.4459104037685
61,13.1920543226544
62,12.9080728329327
63,12.7313855226912
64,12.4425768519873
65,12.1359196405075
66,11.8584909759299
67,11.589882441159
68,11.3753595989759
69,11.1297842731775
70,10.8758507123678
71,10.5900598160461
72,10.3378382858246
73,10.0569802446501
74,9.80756674097131
75,9.57123911844889
76,9.28367658757169
77,9.11298422169151
78,8.94364708801363
79,8.80813280375524
80,8.68808524295537
81,8.57010591795016
82,8.4893700444479
83,8.42237467104908
84,8.38025771376391
85,8.33087368176476
86,8.31034552974574
87,8.28342337506816
88,8.26025375508215
89,8.25408867682025
90,8.25304592573819
91,8.24845761745828
92,8.26533173010235
93,8.27474797824004
94,8.30376594597942
95,8.33224334192359
96,8.36959992489116
97,8.41171528600404
98,8.48958045099918
99,8.58154875835411
100,8.68808950032971
101,8.81834582146281
102,8.9586243599032
103,9.10084804518416
104,9.2801373081661
105,9.51861798261716
106,9.81374095479824
107,10.0676686838243
108,10.3512837891355
109,10.5974747790986
110,10.817806155552
111,11.1237722062237
112,11.3832798200005
