"teta [deg]","Torque1.Torque/50 []"
72,-59.0289367642202
73,-61.0297427963024
74,-58.1067883439716
75,-55.3532932977332
76,-49.1862451021202
77,-41.3156892090118
78,-32.326856227504
79,-25.9864537150556
80,-22.1781892302296
81,-17.6711583886252
82,-14.604363684431
83,-11.6555411547747
84,-9.42220422406884
85,-7.49155644361244
86,-5.666220131004
87,-4.17663626905364
88,-2.80651463016356
89,-1.05708714829565
90,0.05815446326131
91,1.20640114982963
92,2.7422694146989
93,4.1771036724453
94,5.68943874140248
95,7.49123201961418
96,9.31993913016442
97,11.5726546539387
98,14.4927501943068
99,17.9722543336284
100,22.1259223505696
101,26.1858630245048
102,34.3396147465884
103,40.768706449727
104,48.906806951144
105,55.533509106486
106,57.6597547470888
107,60.0079767830722
108,59.1657259010916
109,58.912656265235
110,60.1472653459546
111,58.930624351135
112,59.7620734512636
113,59.62913997192
114,59.3385789799712
115,58.754715580114
116,58.619652635363
117,58.4526504891814
118,58.9555448143468
119,59.1218546311608
120,58.375332646201
121,57.2657973088508
122,56.5836251451672
123,57.178987739531
124,58.4115200503
125,57.1386644782574
126,57.0804485335238
127,56.9124732542802
128,58.3020782510426
129,57.5786751350014
130,56.7539125040374
131,56.3480281882078
132,56.2736915311218
133,57.8883454628664
134,56.5882478553392
135,56.1465522448156
136,56.123020595215
137,54.4075099210202
138,56.628812024209
139,55.7454067322438
140,54.7278758627668
141,54.0819739010056
142,53.5495271544186
143,56.0329369750204
144,54.8547271031892
145,53.4981139590032
146,53.4663551255854
147,53.33360302779
148,55.0026383077088
149,53.7355921667862
150,52.7471961419958
151,52.235878046399
152,52.3860772787152
153,53.5564634718404
154,52.5831371089692
155,51.3381173577838
156,51.2785708909218
157,53.1830687413126
158,52.2268093806282
159,51.0769636076972
160,50.263887372623
161,49.4576285956642
162,51.2314417648802
163,50.084991023861
164,48.773169177989
165,48.2623755863748
166,46.600647266031
167,47.8565538476012
168,46.5050658879778
169,44.862990456172
170,44.0464277577086
171,41.6436213707482
172,41.3271940562628
173,38.4744406641956
174,34.4973847590268
175,31.2566034037308
176,29.8862570984862
177,22.6292798824622
178,14.089729273274
179,5.99246452409082
180,0.924875988259626
